Date,BMW,SAP,VOW,CON,SIE
2000-01-03,29.49,41.2417,31.2129,18.3861,79.7837
2000-01-04,28.3,39.2917,29.8212,18.3861,76.56
2000-01-05,27.74,34.55,30.02,18.8262,73.9695
2000-01-06,27.65,35.6708,30.6661,19.1196,73.065
2000-01-07,27.6,43.25,31.4415,18.6306,76.0044
2000-01-10,28.7,45.0167,31.6602,18.6306,80.5266
2000-01-11,28.6,46.4583,31.9683,18.1025,81.0822
2000-01-12,28.19,47.4167,31.7298,17.8971,80.223
2000-01-13,27.4,47.9167,30.8153,17.9949,83.3368
2000-01-14,27.2,49.0,30.8252,18.3861,87.6651
2000-01-17,27.28,48.25,31.859,18.259,89.6096
2000-01-18,27.0,46.1667,31.352,17.7993,85.9209
2000-01-19,27.59,45.75,30.4673,16.7724,84.7903
2000-01-20,26.2,46.9083,29.9206,16.8213,88.7827
2000-01-21,25.75,46.6667,29.9206,17.2125,88.505
2000-01-24,24.75,48.4167,29.6721,16.9191,90.8629
2000-01-25,23.33,47.0833,29.0757,16.7529,91.7351
2000-01-26,24.45,47.9167,28.7675,16.3323,91.7351
2000-01-27,24.25,50.7083,29.523,16.4301,96.8386
2000-01-28,25.02,51.625,28.857,16.5768,97.6139
2000-01-31,23.6,48.0833,28.4296,16.1367,89.8681
2000-02-01,24.2,50.8333,28.3202,16.0389,93.124
2000-02-02,24.28,51.4083,28.3302,16.1367,93.2209
2000-02-03,25.7,52.2917,27.9325,16.0878,98.3697
2000-02-04,25.46,52.6667,27.0379,15.6966,104.3325
2000-02-07,25.1,52.6375,26.8292,15.8238,105.3015
2000-02-08,25.0,55.95,26.3421,16.2541,110.4697
2000-02-09,25.0,57.475,26.5409,15.99,116.0255
2000-02-10,25.85,55.8333,26.5309,16.5866,111.7617
2000-02-11,25.65,54.625,26.3222,16.2345,110.7927
2000-02-14,25.35,54.25,25.8451,16.0389,113.9711
2000-02-15,25.0,51.9333,26.0439,16.479,104.985
2000-02-16,25.6,54.5833,25.9445,16.3128,105.1077
2000-02-17,25.2,55.7917,26.352,15.8727,106.852
2000-02-18,26.2,55.75,25.8152,16.0389,103.3828
2000-02-21,27.55,54.4333,25.4474,16.1661,105.3015
2000-02-22,27.75,54.725,25.5468,16.3323,106.6582
2000-02-23,26.9,54.9583,23.7079,16.6257,116.6715
2000-02-24,26.9,53.75,22.1671,16.6257,115.9544
2000-02-25,27.0,56.9167,23.2605,16.4301,121.4521
2000-02-28,26.11,54.7667,23.5588,16.6257,115.7025
2000-02-29,26.66,54.8333,23.3798,16.7138,119.1264
2000-03-01,26.91,57.9042,23.6582,16.4301,120.9998
2000-03-02,26.9,57.9417,23.9067,16.5671,123.7196
2000-03-03,26.0,60.9167,23.7973,16.4301,123.0865
2000-03-06,25.8,68.325,23.857,16.3812,120.16
2000-03-07,25.33,71.5833,23.6085,16.3226,118.2219
2000-03-08,25.78,65.5,23.7079,15.9411,113.9453
2000-03-09,25.7,66.6417,23.847,16.2345,117.8989
2000-03-10,26.2,66.75,23.847,16.5182,120.483
2000-03-13,26.55,62.9167,24.3043,16.3812,110.5343
2000-03-14,27.31,62.0833,24.7715,16.9191,110.3405
2000-03-15,31.05,57.5833,25.6462,17.8482,98.8994
2000-03-16,31.75,52.5,26.9882,18.3372,98.5183
2000-03-17,29.99,56.0833,26.8391,18.5817,103.357
2000-03-20,30.7,62.225,26.4415,17.7015,113.2088
2000-03-21,33.1,58.575,25.7854,17.9949,109.8237
2000-03-22,34.45,59.6242,25.8948,18.7773,102.2652
2000-03-23,33.4,56.2417,26.3918,18.5817,102.2394
2000-03-24,33.8,56.6667,26.5409,18.0438,106.7874
2000-03-27,32.55,58.3333,26.3918,18.611,103.3634
2000-03-28,33.15,58.75,26.5906,18.435,101.3608
2000-03-29,34.4,53.75,27.1174,18.3372,99.6488
2000-03-30,33.93,50.1667,26.5309,18.5817,95.9342
2000-03-31,33.15,49.1667,26.1532,18.5817,96.8968
2000-04-03,33.15,44.4167,25.855,17.7015,91.7351
2000-04-04,33.92,43.5833,25.5468,18.2883,88.8603
2000-04-05,33.2,43.75,25.0399,18.0438,86.2374
2000-04-06,32.2,48.75,25.348,18.3861,93.7054
2000-04-07,31.35,49.4167,25.1492,19.1196,96.9032
2000-04-10,32.5,45.75,24.5528,19.3641,98.7767
2000-04-11,32.45,42.5833,24.7814,19.6966,93.7636
2000-04-12,32.5,43.25,24.6621,19.7944,91.4443
2000-04-13,32.1,40.4583,24.4932,19.5597,92.8656
2000-04-14,30.9,39.5,24.851,19.1587,87.0191
2000-04-17,31.4,41.6667,24.5031,18.924,91.4185
2000-04-18,30.1,41.875,24.9107,19.1685,94.2868
2000-04-19,30.0,44.5333,24.3441,18.924,96.8063
2000-04-20,30.01,41.5375,24.851,18.924,96.8063
2000-04-21,30.01,41.5375,24.851,18.924,96.8063
2000-04-24,30.01,41.5375,24.851,18.924,96.8063
2000-04-25,30.7,41.6667,25.4971,19.4619,97.9369
2000-04-26,30.5,42.75,25.5866,19.7064,100.7794
2000-04-27,30.2,41.67,25.0598,19.2565,97.9369
2000-04-28,29.6,42.9167,24.6522,19.6966,105.3015
2000-05-01,29.6,42.9167,24.6522,19.6966,105.3015
